ID,Full Name,Email,DOS Email,Role,DOS,VP,EVP,Theater,Division,District,Hire Date,Term Date,Enterprise Integrations: Positioning and Use Cases,Prospecting 101,ROI at Sprinklr,SSC Additions,Sprinklr Advertising Cloud: Messaging,Sprinklr Care Cloud: Messaging,Sprinklr Commerce Cloud: Messaging,Sprinklr Marketing Cloud: Messaging,Sprinklr Research Cloud: Messaging,Stories and Case Studies,Sum,isComplete
xfuzp,Roxie Horace,Roxie.Horace@gmail.com,Donn.Plaster@gmail.com,DVP,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,1/16/17,,0,0,0,0,0,0,0,1,1,1,3,0
xQjb1,Dale Delima,Dale.Delima@gmail.com,Katerine.Kroenke@gmail.com,DVP,Katerine Kroenke,Belle Chupp,Gavin Hairston,Americas,Canada,Canada,3/6/17,,1,0,0,0,1,1,0,0,0,1,4,0
xxNk5,Brady Goss,Brady.Goss@gmail.com,Lee.Mckiernan@gmail.com,DVP,Lee Mckiernan,Synthia Hulett,Gavin Hairston,Americas,South,Mid-Atlantic,3/6/17,,1,1,0,0,1,0,0,0,0,1,4,0
xbB9h,Shirlee Tworek,Shirlee.Tworek@gmail.com,Katerine.Kroenke@gmail.com,DVP,Katerine Kroenke,Belle Chupp,Gavin Hairston,Americas,Canada,Canada,1/16/17,,1,1,1,0,1,0,1,1,0,1,7,0
xUqEt,Lanny Hubler,Lanny.Hubler@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,4/13/15,,0,0,0,0,0,1,0,0,1,0,2,0
xwFer,Jeffie Kinzel,Jeffie.Kinzel@gmail.com,Lee.Mckiernan@gmail.com,DVP,Lee Mckiernan,Synthia Hulett,Gavin Hairston,Americas,South,Mid-Atlantic,7/2/15,,0,0,0,0,0,0,1,0,0,0,1,0
xYZrD,Wayne Rousseau,Wayne.Rousseau@gmail.com,Melany.Edwards@gmail.com,Rep,Melany Edwards,Alex Kemp,Elyse Avila,Europe,Central Europe,NE_3,2/21/17,,0,1,0,1,0,0,0,0,0,1,3,0
x4EhZ,Paris Demartino,Paris.Demartino@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,5/1/17,,1,1,0,1,0,1,0,0,0,0,4,0
xPyH0,Meg Catania,Meg.Catania@gmail.com,Aslam.elIshmael@gmail.com,Rep,Aslam el-Ishmael,Mutammam al-Atallah,Pranav Gupta,MEA,Middle East,Middle East,12/5/16,,0,0,0,0,1,0,1,0,0,1,3,0
xKC42,Vernita Garretson,Vernita.Garretson@gmail.com,Jerrod.Overson@gmail.com,Rep,Jerrod Overson,Maire Dehn,Synthia Hulett,APAC,Singapore,Singapore,12/5/16,,0,1,1,0,0,0,1,1,1,1,6,0
xK76Q,Brigida Swett,Brigida.Swett@gmail.com,Kendall.Weaver@gmail.com,Rep,Kendall Weaver,William Dickson,Elyse Avila,Europe,South Europe,Switzerland,1/23/17,,0,0,0,0,1,1,0,1,0,0,3,0
x9xyt,Lesly Wolf,Lesly.Wolf@gmail.com,Donn.Plaster@gmail.com,,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,7/1/17,,1,1,1,1,1,1,1,1,1,1,10,1
x2CU0,Cadence Barrera,Cadence.Barrera@gmail.com,Donn.Plaster@gmail.com,,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,1/24/17,,0,1,1,1,1,1,1,1,1,1,9,0
x9hv4,Kamila Cummings,Kamila.Cummings@gmail.com,Donn.Plaster@gmail.com,,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,3/21/17,,0,0,1,1,1,1,1,1,1,1,8,0
xme7g,Hailey Dalton,Hailey.Dalton@gmail.com,Donn.Plaster@gmail.com,,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,9/10/12,,0,0,0,1,1,1,1,1,1,1,7,0
xBSoM,Mathew Boley,Mathew.Boley@gmail.com,Donn.Plaster@gmail.com,,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,7/6/15,,0,0,0,0,1,1,1,1,1,1,6,0
xUBVr,Brendan Bernabe,Brendan.Bernabe@gmail.com,Donn.Plaster@gmail.com,,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,12/20/16,,0,0,0,0,0,1,1,1,1,1,5,0
x7O0z,Carson Palladino,Carson.Palladino@gmail.com,Donn.Plaster@gmail.com,,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,1/23/17,,0,0,0,0,0,0,1,1,1,1,4,0
